Timestamp,Delta (s),Raw Data (Hex),Modifier,Modifier Keys,Active Keys
2025-05-11T01:33:50.629696,2.828398,06 00 00 00 00 02 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,6,"左Shift, 左Alt",0x02
2025-05-11T01:33:50.683501,2.882203,06 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,6,"左Shift, 左Alt",
2025-05-11T01:33:51.424506,3.623208,06 00 00 00 00 02 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,6,"左Shift, 左Alt",0x02
2025-05-11T01:33:51.514461,3.713163,06 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,6,"左Shift, 左Alt",
2025-05-11T01:33:52.399464,4.598166,06 02 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,6,"左Shift, 左Alt",
2025-05-11T01:33:52.400261,4.598963,06 02 00 00 00 08 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,6,"左Shift, 左Alt",E(0x08)
2025-05-11T01:33:52.484483,4.683185,06 02 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,6,"左Shift, 左Alt",
2025-05-11T01:33:52.485265,4.683967,06 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,6,"左Shift, 左Alt",
2025-05-11T01:33:52.737467,4.936169,06 02 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,6,"左Shift, 左Alt",
2025-05-11T01:33:52.738254,4.936956,06 02 40 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,6,"左Shift, 左Alt",F7(0x40)
2025-05-11T01:33:52.828500,5.027202,06 02 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,6,"左Shift, 左Alt",
2025-05-11T01:33:52.829229,5.027931,06 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,6,"左Shift, 左Alt",
2025-05-11T01:33:53.052484,5.251186,06 02 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,6,"左Shift, 左Alt",
2025-05-11T01:33:53.053286,5.251988,06 02 00 00 00 02 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,6,"左Shift, 左Alt",0x02
2025-05-11T01:33:53.144488,5.34319,06 02 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,6,"左Shift, 左Alt",
2025-05-11T01:33:53.145270,5.343972,06 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,6,"左Shift, 左Alt",
2025-05-11T01:33:53.359497,5.558199,06 00 00 00 00 00 00 00 00 00 00 10 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,6,"左Shift, 左Alt",
2025-05-11T01:33:53.451580,5.650282,06 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,6,"左Shift, 左Alt",
2025-05-11T01:33:53.809361,6.008063,06 00 00 00 00 02 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,6,"左Shift, 左Alt",0x02
2025-05-11T01:33:53.946357,6.145059,06 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,6,"左Shift, 左Alt",
2025-05-11T01:33:54.109502,6.308204,06 00 10 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,6,"左Shift, 左Alt",M(0x10)
2025-05-11T01:33:54.226461,6.425163,06 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,6,"左Shift, 左Alt",
2025-05-11T01:33:54.434481,6.633183,06 00 00 00 00 10 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,6,"左Shift, 左Alt",M(0x10)
2025-05-11T01:33:54.540481,6.739183,06 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,6,"左Shift, 左Alt",
2025-05-11T01:33:54.747510,6.946212,06 00 00 00 10 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,6,"左Shift, 左Alt",M(0x10)
2025-05-11T01:33:54.848415,7.047117,06 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,6,"左Shift, 左Alt",
2025-05-11T01:33:55.459502,7.658204,06 00 00 00 08 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,6,"左Shift, 左Alt",E(0x08)
2025-05-11T01:33:55.563504,7.762206,06 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,6,"左Shift, 左Alt",
2025-05-11T01:33:55.778465,7.977167,06 02 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,6,"左Shift, 左Alt",
2025-05-11T01:33:55.779288,7.97799,06 02 00 00 00 00 00 00 20 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,6,"左Shift, 左Alt",
2025-05-11T01:33:55.780273,7.978975,06 00 00 00 80 00 00 00 20 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,6,"左Shift, 左Alt",0x80
2025-05-11T01:33:55.846535,8.045237,06 00 00 00 80 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,6,"左Shift, 左Alt",0x80
2025-05-11T01:33:55.847301,8.046003,06 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,6,"左Shift, 左Alt",
2025-05-11T01:33:57.075482,9.274184,06 00 00 00 00 00 00 00 00 00 01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,6,"左Shift, 左Alt",
2025-05-11T01:33:57.174493,9.373195,06 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,6,"左Shift, 左Alt",
2025-05-11T01:33:57.483535,9.682237,06 02 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,6,"左Shift, 左Alt",
2025-05-11T01:33:57.484313,9.683015,06 02 00 00 02 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,6,"左Shift, 左Alt",0x02
2025-05-11T01:33:57.574479,9.773181,06 02 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,6,"左Shift, 左Alt",
2025-05-11T01:33:57.575345,9.774047,06 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,6,"左Shift, 左Alt",
2025-05-11T01:33:57.889489,10.088191,06 02 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,6,"左Shift, 左Alt",
2025-05-11T01:33:57.890316,10.089018,06 02 00 01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,6,"左Shift, 左Alt",0x01
2025-05-11T01:33:58.032489,10.231191,06 02 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,6,"左Shift, 左Alt",
2025-05-11T01:33:58.033328,10.23203,06 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,6,"左Shift, 左Alt",
2025-05-11T01:33:58.297527,10.496229,06 00 00 00 20 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,6,"左Shift, 左Alt",#(0x20)
2025-05-11T01:33:58.391527,10.590229,06 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,6,"左Shift, 左Alt",
2025-05-11T01:33:58.598537,10.797239,06 00 00 00 40 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,6,"左Shift, 左Alt",F7(0x40)
2025-05-11T01:33:58.700530,10.899232,06 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,6,"左Shift, 左Alt",
2025-05-11T01:33:59.469511,11.668213,02 00 00 00 00 01,,,
2025-05-11T01:33:59.470306,11.669008,02 00 00 00 00 00,,,
2025-05-11T01:33:59.516522,11.715224,02 00 00 00 00 01,,,
2025-05-11T01:33:59.517270,11.715972,02 00 00 00 00 00,,,
2025-05-11T01:33:59.547484,11.746186,02 00 00 00 00 01,,,
2025-05-11T01:33:59.548347,11.747049,02 00 00 00 00 00,,,
2025-05-11T01:33:59.585530,11.784232,02 00 00 00 00 01,,,
2025-05-11T01:33:59.586315,11.785017,02 00 00 00 00 00,,,
2025-05-11T01:33:59.617452,11.816154,02 00 00 00 00 01,,,
2025-05-11T01:33:59.618270,11.816972,02 00 00 00 00 00,,,
2025-05-11T01:33:59.644466,11.843168,02 00 00 00 00 01,,,
2025-05-11T01:33:59.645285,11.843987,02 00 00 00 00 00,,,
2025-05-11T01:33:59.806542,12.005244,02 00 00 00 00 FF,,,
2025-05-11T01:33:59.807315,12.006017,02 00 00 00 00 00,,,
2025-05-11T01:33:59.850517,12.049219,02 00 00 00 00 FF,,,
2025-05-11T01:33:59.851270,12.049972,02 00 00 00 00 00,,,
2025-05-11T01:33:59.890529,12.089231,02 00 00 00 00 FF,,,
2025-05-11T01:33:59.891319,12.090021,02 00 00 00 00 00,,,
2025-05-11T01:33:59.933520,12.132222,02 00 00 00 00 FF,,,
2025-05-11T01:33:59.934294,12.132996,02 00 00 00 00 00,,,
2025-05-11T01:33:59.968509,12.167211,02 00 00 00 00 FF,,,
2025-05-11T01:33:59.969324,12.168026,02 00 00 00 00 00,,,
2025-05-11T01:34:00.004556,12.203258,02 00 00 00 00 FF,,,
2025-05-11T01:34:00.005538,12.20424,02 00 00 00 00 00,,,
2025-05-11T01:34:00.419517,12.618219,02 00 00 00 01 00,,,
2025-05-11T01:34:00.420342,12.619044,02 00 00 00 00 00,,,
2025-05-11T01:34:00.450525,12.649227,02 00 00 00 01 00,,,
2025-05-11T01:34:00.451264,12.649966,02 00 00 00 00 00,,,
2025-05-11T01:34:00.478505,12.677207,02 00 00 00 01 00,,,
2025-05-11T01:34:00.479325,12.678027,02 00 00 00 00 00,,,
2025-05-11T01:34:00.510496,12.709198,02 00 00 00 01 00,,,
2025-05-11T01:34:00.511301,12.710003,02 00 00 00 00 00,,,
2025-05-11T01:34:00.541533,12.740235,02 00 00 00 01 00,,,
2025-05-11T01:34:00.542286,12.740988,02 00 00 00 00 00,,,
2025-05-11T01:34:00.581513,12.780215,02 00 00 00 01 00,,,
2025-05-11T01:34:00.582327,12.781029,02 00 00 00 00 00,,,
2025-05-11T01:34:00.697495,12.896197,02 00 00 00 FF 00,,,
2025-05-11T01:34:00.698320,12.897022,02 00 00 00 00 00,,,
2025-05-11T01:34:00.761544,12.960246,02 00 00 00 FF 00,,,
2025-05-11T01:34:00.762298,12.961,02 00 00 00 00 00,,,
2025-05-11T01:34:00.809536,13.008238,02 00 00 00 FF 00,,,
2025-05-11T01:34:00.810306,13.009008,02 00 00 00 00 00,,,
2025-05-11T01:34:00.852514,13.051216,02 00 00 00 FF 00,,,
2025-05-11T01:34:00.853321,13.052023,02 00 00 00 00 00,,,
2025-05-11T01:34:00.905526,13.104228,02 00 00 00 FF 00,,,
2025-05-11T01:34:00.906329,13.105031,02 00 00 00 00 00,,,
2025-05-11T01:34:01.514583,13.713285,06 03 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,6,"左Shift, 左Alt",
2025-05-11T01:34:01.515325,13.714027,06 03 00 00 00 20 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,6,"左Shift, 左Alt",#(0x20)
2025-05-11T01:34:01.516321,13.715023,06 03 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,6,"左Shift, 左Alt",
2025-05-11T01:34:01.517309,13.716011,06 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,6,"左Shift, 左Alt",
2025-05-11T01:34:01.538494,13.737196,06 03 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,6,"左Shift, 左Alt",
2025-05-11T01:34:01.539333,13.738035,06 03 00 00 00 20 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,6,"左Shift, 左Alt",#(0x20)
2025-05-11T01:34:01.540296,13.738998,06 03 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,6,"左Shift, 左Alt",
2025-05-11T01:34:01.541307,13.740009,06 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,6,"左Shift, 左Alt",
2025-05-11T01:34:01.568542,13.767244,06 03 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,6,"左Shift, 左Alt",
2025-05-11T01:34:01.569281,13.767983,06 03 00 00 00 20 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,6,"左Shift, 左Alt",#(0x20)
2025-05-11T01:34:01.570318,13.76902,06 03 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,6,"左Shift, 左Alt",
2025-05-11T01:34:01.571319,13.770021,06 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,6,"左Shift, 左Alt",
2025-05-11T01:34:01.587450,13.786152,06 03 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,6,"左Shift, 左Alt",
2025-05-11T01:34:01.588315,13.787017,06 03 00 00 00 20 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,6,"左Shift, 左Alt",#(0x20)
2025-05-11T01:34:01.589280,13.787982,06 03 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,6,"左Shift, 左Alt",
2025-05-11T01:34:01.590281,13.788983,06 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,6,"左Shift, 左Alt",
2025-05-11T01:34:01.609505,13.808207,06 03 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,6,"左Shift, 左Alt",
2025-05-11T01:34:01.610319,13.809021,06 03 00 00 00 20 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,6,"左Shift, 左Alt",#(0x20)
2025-05-11T01:34:01.611302,13.810004,06 03 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,6,"左Shift, 左Alt",
2025-05-11T01:34:01.612301,13.811003,06 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,6,"左Shift, 左Alt",
2025-05-11T01:34:01.624410,13.823112,06 03 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,6,"左Shift, 左Alt",
2025-05-11T01:34:01.625284,13.823986,06 03 00 00 00 20 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,6,"左Shift, 左Alt",#(0x20)
2025-05-11T01:34:01.626275,13.824977,06 03 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,6,"左Shift, 左Alt",
2025-05-11T01:34:01.627296,13.825998,06 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,6,"左Shift, 左Alt",
2025-05-11T01:34:01.646469,13.845171,06 03 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,6,"左Shift, 左Alt",
2025-05-11T01:34:01.647372,13.846074,06 03 00 00 00 20 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,6,"左Shift, 左Alt",#(0x20)
2025-05-11T01:34:01.648301,13.847003,06 03 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,6,"左Shift, 左Alt",
2025-05-11T01:34:01.649304,13.848006,06 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,6,"左Shift, 左Alt",
2025-05-11T01:34:01.665506,13.864208,06 03 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,6,"左Shift, 左Alt",
